date,market_date,ticker,role,target_weight,is_cash_like,entry_level,latest_price,high_252d,low_252d,current_drawdown_252d,entry_price,gap_from_current_to_entry,return_to_252d_high_from_entry,return_to_252d_high_from_current,suggested_buy_amount,estimated_execution_price,estimated_shares,estimated_gross_cost,estimated_total_cost,fee_ratio,trade_cost_flag,trade_cost_note
2026-06-12,2026-06-12,VTI,美国全市场核心,0.64,False,current,365.0798950195313,374.3599853515625,290.00201416015625,-0.02478921544810997,365.0798950195313,0.0,0.02541934096791265,0.02541934096791265,12800.0,365.26243496704103,35.016193223248095,12790.1,12800.0,0.0007734375,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VTI,美国全市场核心,0.64,False,dd_5,365.0798950195313,374.3599853515625,290.00201416015625,-0.02478921544810997,355.64198608398436,-0.02585162608048308,0.05263157894736836,0.02541934096791265,12800.0,355.8198070770263,35.94544133185721,12790.1,12800.0,0.0007734375,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VTI,美国全市场核心,0.64,False,dd_10,365.0798950195313,374.3599853515625,290.00201416015625,-0.02478921544810997,336.9239868164063,-0.07712259312887859,0.11111111111111094,0.02541934096791265,12800.0,337.09244880981447,37.94241029473816,12790.1,12800.0,0.0007734375,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VTI,美国全市场核心,0.64,False,dd_15,365.0798950195313,374.3599853515625,290.00201416015625,-0.02478921544810997,318.2059875488281,-0.12839356017727444,0.17647058823529416,0.02541934096791265,12800.0,318.3650905426025,40.17431678266394,12790.099999999999,12799.999999999998,0.0007734375,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VTI,美国全市场核心,0.64,False,dd_25,365.0798950195313,374.3599853515625,290.00201416015625,-0.02478921544810997,280.7699890136719,-0.23093549427406557,0.33333333333333326,0.02541934096791265,12800.0,280.9103740081787,45.5308923536858,12790.1,12800.0,0.0007734375,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VEA,发达市场,0.2,False,current,71.33000183105469,72.31999969482422,53.73569869995117,-0.013689129811215728,71.33000183105469,0.0,0.013879122926624188,0.013879122926624188,4000.0,71.36566683197022,55.91063850625333,3990.1,4000.0,0.002475,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VEA,发达市场,0.2,False,dd_5,71.33000183105469,72.31999969482422,53.73569869995117,-0.013689129811215728,68.70399971008301,-0.03681483321970702,0.05263157894736836,0.013879122926624188,4000.0,68.73835170993804,58.04765317675081,3990.1,4000.0,0.002475,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VEA,发达市场,0.2,False,dd_10,71.33000183105469,72.31999969482422,53.73569869995117,-0.013689129811215728,65.0879997253418,-0.08750878936603823,0.11111111111111094,0.013879122926624188,4000.0,65.12054372520447,61.27252279768141,3990.1,4000.0,0.002475,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VEA,发达市场,0.2,False,dd_15,71.33000183105469,72.31999969482422,53.73569869995117,-0.013689129811215728,61.47199974060059,-0.13820274551236944,0.17647058823529416,0.013879122926624188,4000.0,61.50273574047088,64.87678884460385,3990.1,4000.0,0.002475,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VEA,发达市场,0.2,False,dd_25,71.33000183105469,72.31999969482422,53.73569869995117,-0.013689129811215728,54.239999771118164,-0.23959065780503186,0.33333333333333326,0.013879122926624188,4000.0,54.26711977100372,73.52702735721769,3990.0999999999995,3999.9999999999995,0.002475,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VWO,新兴市场,0.1,False,current,59.279998779296875,61.189998626708984,46.40241241455078,-0.031214248901427655,59.279998779296875,0.0,0.03221997109890573,0.03221997109890573,2000.0,59.30963877868652,33.55441107011364,1990.1000000000001,2000.0000000000002,0.00495,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VWO,新兴市场,0.1,False,dd_5,59.279998779296875,61.189998626708984,46.40241241455078,-0.031214248901427655,58.13049869537353,-0.0193910274560396,0.05263157894736836,0.03221997109890573,2000.0,58.159563944721214,34.217931927610834,1990.1,2000.0,0.00495,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VWO,新兴市场,0.1,False,dd_10,59.279998779296875,61.189998626708984,46.40241241455078,-0.031214248901427655,55.07099876403809,-0.07100202601098482,0.11111111111111116,0.03221997109890573,2000.0,55.098534263420106,36.11892814581143,1990.1,2000.0,0.00495,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VWO,新兴市场,0.1,False,dd_15,59.279998779296875,61.189998626708984,46.40241241455078,-0.031214248901427655,52.011498832702635,-0.12261302456593015,0.17647058823529416,0.03221997109890573,2000.0,52.037504582118984,38.24357097791799,1990.1,2000.0,0.00495,cost_ok,交易成本可接受
2026-06-12,2026-06-12,VWO,新兴市场,0.1,False,dd_25,59.279998779296875,61.189998626708984,46.40241241455078,-0.031214248901427655,45.89249897003174,-0.2258350216758207,0.33333333333333326,0.03221997109890573,2000.0,45.915445219516755,43.34271377497372,1990.1,2000.0,0.00495,cost_ok,交易成本可接受
2026-06-12,2026-06-12,SGOV,美元现金短债,0.06,True,current,100.5167999267578,100.5167999267578,96.73204803466795,0.0,100.5167999267578,0.0,0.0,0.0,1200.0,100.56705832672117,11.833894913517465,1190.1,1200.0,0.00825,defer_high_fee_ratio,手续费占比 0.83% 高于上限 0.50%
