Ticker,start_date,end_date,start_price,latest_price,total_return,annualized_vol
BIL,2015-01-02,2026-06-10,73.69434356689453,91.47000122070312,0.2412078972882512,0.0026284422706746536
GLD,2015-01-02,2026-06-10,114.08000183105469,374.5799865722656,2.2834851030857717,0.15973173712217845
IWM,2015-01-02,2026-06-10,102.78697204589844,282.04998779296875,1.7440246772423875,0.22460565020729759
QQQ,2015-01-02,2026-06-10,94.6650619506836,693.6900024414062,6.327835509184886,0.21889257732828846
SGOV,2020-06-01,2026-06-10,84.33551788330078,100.4800033569336,0.19143162784596557,0.002362726501320595
SPY,2015-01-02,2026-06-10,170.12498474121094,725.4299926757812,3.2641002659267464,0.17655471596969993
TLT,2015-01-02,2026-06-10,93.00151062011719,84.87999725341797,-0.08732668225006712,0.14864482784806032
VEA,2015-01-02,2026-06-10,26.92558479309082,68.80999755859375,1.5555618601179124,0.17364333414954936
VTI,2015-01-02,2026-06-10,87.81742858886719,358.0400085449219,3.0770951085478657,0.17982017353326263
VWO,2015-01-02,2026-06-10,28.644439697265625,57.720001220703125,1.0150508032528571,0.19602104092074435
XLE,2015-01-02,2026-06-10,25.548067092895508,58.25,1.2800159318588276,0.29185607219334025
XLF,2015-01-02,2026-06-10,16.27479362487793,52.22999954223633,2.209257256718552,0.21737490586777025
XLK,2015-01-02,2026-06-10,18.084274291992188,176.6300048828125,8.76704964937549,0.23858368193322288
XLV,2015-01-02,2026-06-10,57.05784225463867,152.85000610351562,1.6788606099293788,0.16752150680703587
