,latest_price,return_1m,return_3m,return_6m,return_12m
XLK,176.6300048828125,-0.007027209161723946,0.2593436904733799,0.19974171963728815,0.483233161229901
QQQ,693.6900024414062,-0.027478271375889318,0.1429588424207715,0.1140186928712672,0.3134498687927325
IWM,282.04998779296875,-0.011495457658342367,0.1174676510762056,0.13006423988891336,0.3361899358254776
VTI,358.0400085449219,-0.015372758746055926,0.07778702759192413,0.07015033223924738,0.22654474945817116
SPY,725.4299926757812,-0.018760983830925726,0.07552694548843508,0.0671863135179922,0.22356261739738992
XLF,52.22999954223633,0.020515811465408706,0.05758426803562622,-0.014922096876752389,0.039932070660002816
VEA,68.80999755859375,-0.02838184333368987,0.04656988255733485,0.1321799757962001,0.26090786259738885
VWO,57.720001220703125,-0.044212588109464046,0.03887688614151963,0.08587994913550223,0.22105784730474287
XLE,58.25,0.01889105939557889,0.028967847382800782,0.30185775697215167,0.4387960684302836
BIL,91.47000122070312,0.002833727496759142,0.008923670266592465,0.017919445234753084,0.03871104126199709
SGOV,100.4800033569336,0.0028791594468753345,0.008893506283390584,0.018214830629521117,0.03957313305504284
XLV,152.85000610351562,0.06858230759113049,0.004110998152997869,0.017842873946205318,0.15971653729637447
TLT,84.87999725341797,-0.004045536750009959,-0.014571255243293169,-0.012039989794842776,0.038755953029526724
GLD,374.5799865722656,-0.1382031707528908,-0.21346381183167507,-0.028125230859349815,0.22164239950856568
