trade_date,amount,type,vti_drawdown_252d,remaining_tranches_after_trade,cash_after_trade,test_start_date
2021-09-01,20000.0,initial_40pct,,6,30000.0,2021-09-01
2021-10-01,5000.0,regular_monthly_dca,-0.0364353062323286,5,25000.0,2021-09-01
2021-11-01,5000.0,regular_monthly_dca,0.0,4,20000.0,2021-09-01
2021-12-01,5000.0,regular_monthly_dca,-0.05202013470803424,3,15000.0,2021-09-01
2022-01-03,5000.0,regular_monthly_dca,0.0,2,10000.0,2021-09-01
2022-01-26,5000.0,smart_1_tranche_dd_10pct,-0.1012473306584819,1,5000.0,2021-09-01
2022-01-27,5000.0,smart_1_tranche_dd_10pct,-0.1079146213696639,0,0.0,2021-09-01
2021-11-01,20000.0,initial_40pct,,6,30000.0,2021-11-01
2021-12-01,5000.0,regular_monthly_dca,-0.05202013470803424,5,25000.0,2021-11-01
2022-01-03,5000.0,regular_monthly_dca,0.0,4,20000.0,2021-11-01
2022-01-26,5000.0,smart_1_tranche_dd_10pct,-0.1012473306584819,3,15000.0,2021-11-01
2022-01-27,5000.0,smart_1_tranche_dd_10pct,-0.1079146213696639,2,10000.0,2021-11-01
2022-02-01,5000.0,regular_monthly_dca,-0.05939026758766386,1,5000.0,2021-11-01
2022-02-22,5000.0,smart_1_tranche_dd_10pct,-0.1075030989281135,0,0.0,2021-11-01
2022-01-03,20000.0,initial_40pct,,6,30000.0,2022-01-03
2022-02-03,5000.0,regular_monthly_dca,-0.0756885711851426,5,25000.0,2022-01-03
2022-02-22,5000.0,smart_1_tranche_dd_10pct,-0.1075030989281135,4,20000.0,2022-01-03
2022-02-23,5000.0,smart_1_tranche_dd_10pct,-0.12392496600836644,3,15000.0,2022-01-03
2022-02-24,5000.0,smart_1_tranche_dd_10pct,-0.10857320405781945,2,10000.0,2022-01-03
2022-03-01,5000.0,smart_1_tranche_dd_10pct,-0.10392222652855931,1,5000.0,2022-01-03
2022-03-03,5000.0,regular_monthly_dca,-0.09387995807648475,0,0.0,2022-01-03
2022-03-01,20000.0,initial_40pct,,6,30000.0,2022-03-01
2022-04-01,5000.0,regular_monthly_dca,-0.019180457130391404,5,25000.0,2022-03-01
2022-04-26,5000.0,smart_1_tranche_dd_10pct,-0.1021240558216735,4,20000.0,2022-03-01
2022-04-27,5000.0,smart_1_tranche_dd_10pct,-0.10036476319446941,3,15000.0,2022-03-01
2022-04-29,5000.0,smart_1_tranche_dd_10pct,-0.11229350362596247,2,10000.0,2022-03-01
2022-05-02,5000.0,smart_1_tranche_dd_10pct,-0.10559957928421315,1,5000.0,2022-03-01
2022-05-03,5000.0,smart_1_tranche_dd_10pct,-0.10135171727444237,0,0.0,2022-03-01
2022-06-01,20000.0,initial_40pct,,6,30000.0,2022-06-01
2022-07-01,5000.0,regular_monthly_dca,-0.08513294901290636,5,25000.0,2022-06-01
2022-08-01,5000.0,regular_monthly_dca,-0.012369612007360864,4,20000.0,2022-06-01
2022-09-01,5000.0,regular_monthly_dca,-0.08120610482580526,3,15000.0,2022-06-01
2022-09-20,5000.0,smart_1_tranche_dd_10pct,-0.10409737792198115,2,10000.0,2022-06-01
2022-09-21,5000.0,smart_1_tranche_dd_10pct,-0.1194045504454565,1,5000.0,2022-06-01
2022-09-22,5000.0,smart_1_tranche_dd_10pct,-0.12925454695814576,0,0.0,2022-06-01
